customer_id,name,email,join_date
C001,John Smith,john.smith@email.com,2023-01-15T00:00:00
C002,Sarah Johnson,sarah.j@email.com,2023-02-20T00:00:00
C003,Michael Brown,m.brown@email.com,2023-03-10T00:00:00
C004,Emily Davis,emily.d@email.com,2023-04-05T00:00:00
C005,David Wilson,d.wilson@email.com,2023-05-12T00:00:00
C006,Lisa Anderson,lisa.a@email.com,2023-06-18T00:00:00
C007,James Taylor,j.taylor@email.com,2023-07-22T00:00:00
C008,Jennifer Martinez,j.martinez@email.com,2023-08-30T00:00:00
C009,Robert Garcia,r.garcia@email.com,2023-09-14T00:00:00
C010,Maria Rodriguez,maria.r@email.com,2023-10-25T00:00:00
